3dostr          3DO STR
3g2             3GP2 (3GPP2 file format)
3gp             3GP (3GPP file format)
4xm             4X Technologies
a64             a64 - video for Commodore 64
aa              Audible AA format files
aac             raw ADTS AAC (Advanced Audio Coding)
ac3             raw AC-3
acm             Interplay ACM
act             ACT Voice file format
adf             Artworx Data Format
adp             ADP
ads             Sony PS2 ADS
adts            ADTS AAC (Advanced Audio Coding)
adx             CRI ADX
aea             MD STUDIO audio
afc             AFC
aiff            Audio IFF
aix             CRI AIX
alaw            PCM A-law
alias_pix       Alias/Wavefront PIX image
amr             3GPP AMR
anm             Deluxe Paint Animation
apc             CRYO APC
ape             Monkey's Audio
apng            Animated Portable Network Graphics
aqtitle         AQTitle subtitles
asf             ASF (Advanced / Active Streaming Format)
asf_o           ASF (Advanced / Active Streaming Format)
asf_stream      ASF (Advanced / Active Streaming Format)
ass             SSA (SubStation Alpha) subtitle
ast             AST (Audio Stream)
au              Sun AU
avi             AVI (Audio Video Interleaved)
avisynth        AviSynth script
avm2            SWF (ShockWave Flash) (AVM2)
avr             AVR (Audio Visual Research)
avs             AVS
bethsoftvid     Bethesda Softworks VID
bfi             Brute Force & Ignorance
bfstm           BFSTM (Binary Cafe Stream)
bin             Binary text
bink            Bink
bit             G.729 BIT file format
bmp_pipe        piped bmp sequence
bmv             Discworld II BMV
boa             Black Ops Audio
brender_pix     BRender PIX image
brstm           BRSTM (Binary Revolution Stream)
c93             Interplay C93
caca            caca (color ASCII art) output device
caf             Apple CAF (Core Audio Format)
cavsvideo       raw Chinese AVS (Audio Video Standard) video
cdg             CD Graphics
cdxl            Commodore CDXL video
cine            Phantom Cine
concat          Virtual concatenation script
crc             CRC testing
dash            DASH Muxer
data            raw data
daud            D-Cinema audio
dcstr           Sega DC STR
dds_pipe        piped dds sequence
dfa             Chronomaster DFA
dirac           raw Dirac
dnxhd           raw DNxHD (SMPTE VC-3)
dpx_pipe        piped dpx sequence
dsf             DSD Stream File (DSF)
dshow           DirectShow capture
dsicin          Delphine Software International CIN
dss             Digital Speech Standard (DSS)
dts             raw DTS
dtshd           raw DTS-HD
dv              DV (Digital Video)
dvbsub          raw dvbsub
dvbtxt          dvbtxt
dvd             MPEG-2 PS (DVD VOB)
dxa             DXA
ea              Electronic Arts Multimedia
ea_cdata        Electronic Arts cdata
eac3            raw E-AC-3
epaf            Ensoniq Paris Audio File
exr_pipe        piped exr sequence
f32be           PCM 32-bit floating-point big-endian
f32le           PCM 32-bit floating-point little-endian
f4v             F4V Adobe Flash Video
f64be           PCM 64-bit floating-point big-endian
f64le           PCM 64-bit floating-point little-endian
ffm             FFM (FFserver live feed)
ffmetadata      FFmpeg metadata in text
fifo            FIFO queue pseudo-muxer
film_cpk        Sega FILM / CPK
filmstrip       Adobe Filmstrip
flac            raw FLAC
flic            FLI/FLC/FLX animation
flv             FLV (Flash Video)
framecrc        framecrc testing
framehash       Per-frame hash testing
framemd5        Per-frame MD5 testing
frm             Megalux Frame
fsb             FMOD Sample Bank
g722            raw G.722
g723_1          raw G.723.1
g729            G.729 raw format demuxer
gdigrab         GDI API Windows frame grabber
genh            GENeric Header
gif             GIF Animation
gsm             raw GSM
gxf             GXF (General eXchange Format)
h261            raw H.261
h263            raw H.263
h264            raw H.264 video
hash            Hash testing
hds             HDS Muxer
hevc            raw HEVC video
hls             Apple HTTP Live Streaming
applehttp       Apple HTTP Live Streaming
hnm             Cryo HNM v4
ico             Microsoft Windows ICO
idcin           id Cinematic
idf             iCE Draw File
iff             IFF (Interchange File Format)
ilbc            iLBC storage
image2          image2 sequence
image2pipe      piped image2 sequence
ingenient       raw Ingenient MJPEG
ipmovie         Interplay MVE
